account_id,account_name,industry,employee_count,country,plan,mrr_usd,customer_since,total_revenue_usd
A0001,Smart Solutions,Digital Agency,51-200,Spain,Growth,151.5,2023-10-09,2121.0
A0002,Nova Group,Consulting,11-50,Argentina,Enterprise,425.08,2024-03-08,3825.72
A0003,Next Systems,E-commerce,11-50,Mexico,Starter,49.0,2024-10-27,98.0
A0004,Core Digital,EdTech,1-10,Brazil,Enterprise,626.64,2023-06-13,11279.52
A0005,Peak Digital,EdTech,51-200,Spain,Starter,49.0,2023-04-10,1029.0
A0006,Alpha Hub,EdTech,51-200,Argentina,Growth,246.31,2024-01-23,2709.41
A0007,Nova Solutions,EdTech,500+,Chile,Enterprise,572.21,2023-03-13,12016.41
A0008,Peak Studio,HealthTech,11-50,Spain,Enterprise,513.04,2024-04-09,4104.32
A0009,Eco Studio,E-commerce,1-10,Colombia,Growth,217.35,2023-03-15,4564.35
A0010,Smart Digital,SaaS,11-50,Mexico,Enterprise,591.0,2024-07-24,2955.0
A0011,Eco Digital,E-commerce,51-200,Colombia,Starter,49.0,2023-08-05,833.0
A0012,Blue Solutions,EdTech,51-200,Colombia,Enterprise,536.66,2023-09-29,8049.9
A0013,Next Agency,Consulting,51-200,Chile,Growth,185.2,2023-05-22,3518.8
A0014,Eco Labs,Manufacturing,11-50,Costa Rica,Starter,49.0,2024-03-08,441.0
A0015,Fast Digital,Consulting,11-50,Mexico,Growth,246.11,2023-01-12,5660.53
A0016,Next Studio,Consulting,201-500,Mexico,Starter,49.0,2023-09-27,735.0
A0017,Next Hub,SaaS,51-200,Argentina,Growth,209.9,2023-06-06,3988.1
A0018,Smart Group,E-commerce,201-500,Brazil,Starter,49.0,2023-11-11,637.0
A0019,Blue Agency,Digital Agency,11-50,Peru,Starter,49.0,2023-03-12,1078.0
A0020,Smart Tech,Manufacturing,500+,Spain,Starter,49.0,2024-07-06,245.0
A0021,Alpha Digital,SaaS,51-200,Mexico,Starter,49.0,2023-05-04,980.0
A0022,Alpha Group,HealthTech,1-10,Mexico,Starter,49.0,2024-10-08,98.0
A0023,Eco Works,Finance,11-50,Colombia,Growth,170.42,2023-05-16,3237.98
A0024,Peak Systems,Manufacturing,11-50,Spain,Starter,49.0,2024-03-17,441.0
A0025,Nova Systems,HealthTech,51-200,Mexico,Growth,247.42,2023-04-11,5195.82
A0026,Core Studio,EdTech,11-50,Peru,Starter,49.0,2023-05-24,931.0
A0027,Next Group,Consulting,201-500,Chile,Starter,49.0,2024-07-17,245.0
A0028,Core Group,Digital Agency,11-50,Costa Rica,Starter,49.0,2023-08-07,833.0
A0029,Fast Systems,Finance,1-10,Mexico,Starter,49.0,2024-04-10,392.0
A0030,Nova Digital,SaaS,1-10,Colombia,Enterprise,572.75,2024-07-09,2863.75
A0031,Next Labs,Digital Agency,1-10,Mexico,Enterprise,558.34,2023-02-28,12283.48
A0032,Smart Works,SaaS,51-200,Colombia,Enterprise,520.13,2024-08-06,2080.52
A0033,Fast Agency,HealthTech,201-500,Peru,Growth,201.28,2023-09-25,3019.2
